package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
dtracer,0,,,tracer,28445,,,,,,,,
my-sql,387,,,,,,,mysql,572746,mysql,572746,,
jseep,51,jsep,23362,,,,,,,,,,
rc-lite,1,,,,,,,,,rx-lite,3405358,,
u,172,,,,,,,,,i,790314,,
asf,31,,,,,,,,,ssf,477805,,
devs,1,,,,,,,,,defs,133891,,
is_nan,1,,,,,,,is-nan,544593,is-nan,544593,,
htgen,1,,,,,,,,,hygen,41974,,
buffer-js,0,,,bufferjs,21685,,,bufferjs,21685,bufferjs,21685,,
atil,1,,,,,tail,144671,,,,,,
log4js2,12,,,log4js,2043552,,,,,,,log4js,2043552
bin-trees,1,,,bintrees,379987,,,bintrees,379987,bintrees,379987,,
f2,31,,,,,,,,,r2,92451,,
tablr,1,,,,,,,,,table,9427029,,
thrifty,2,,,thrift,50591,,,,,,,,
roa,1,,,,,ora,4227506,,,,,,
eslint-config-txo-react,38,,,eslint-config-xo-react,14661,,,,,,,,
react-mover,1,,,react-move,82211,,,,,,,,
stream-slicer,2448,,,stream-slice,43660,,,,,,,,
babel-plugin-root-imports,5,,,babel-plugin-root-import,46989,,,,,,,,
httpx,5935,,,,,,,,,https,178706,,
require-g,1,,,requireg,130792,,,requireg,130792,requireg,130792,,
kongo,0,,,,,,,,,mongo,16244,,
pw,614,,,,,,,,,ow,153741,,
sdo,1,,,,,,,,,sdp,97090,,
object-reduce,1,,,,,,,object.reduce,742689,object.reduce,742689,,
ejs2,36,,,,,,,,,,,ejs,5264322
react-collapsed,3705,,,react-collapse,67357,,,,,,,,
react-popped,1,,,,,,,,,react-popper,2486409,,
frumpy,0,,,,,,,,,grumpy,16631,,
xeditor,11,,,editor,440656,,,,,,,,
rdjs,1,,,,,,,,,rxjs,16773017,,
w5,1,,,,,,,,,ws,21131353,,
re-define,1,,,redefine,20741,,,redefine,20741,redefine,20741,,
promise-es6,164,,,,,,,es6-promise,9477357,,,,
ummi,1,umi,14180,,,,,,,,,,
xtable,0,,,,,,,,,stable,4847906,,
jest-vue,1189,,,,,,,vue-jest,489296,,,,
base62x,9,,,base62,529746,,,,,,,,
ush,0,,,,,,,,,usb,18063,,
mongodbx,0,,,mongodb,1564097,,,,,,,,
aconfig,0,,,config,490896,,,,,,,,
v,1858,,,,,,,,,g,15202,,
testesm,1,,,testem,147148,,,,,,,,
eeditor,0,editor,440656,editor,440656,,,,,,,,
preact-dnd,80,,,react-dnd,485885,,,,,,,,
tweb3-core-helpers,2,,,web3-core-helpers,116211,,,,,,,,
one-timer,1,,,one-time,1565152,,,,,,,,
xprocess,1,,,process,9334360,,,,,,,,
sparkies,1,,,,,,,,,sparkles,1538207,,
cpx2,1163,,,,,,,,,,,cpx,254118
react_datepicker,1,,,,,,,react-datepicker,652299,react-datepicker,652299,,
rrf,1,,,,,,,,,ref,20535,,
promise-to-event,1,,,,,,,event-to-promise,19715,,,,
sync-requests,1,,,sync-request,205410,,,,,,,,
scs,0,,,,,css,4172327,,,,,,
across-env,26,,,cross-env,2068952,,,,,,,,
dominot,0,,,domino,204791,,,,,,,,
bootstrap4-material-design,2,,,bootstrap-material-design,12168,,,,,,,,
qr-reader-react,1,,,,,,,react-qr-reader,11393,,,,
swd,1,,,,,,,,,swr,26951,,
promise.defer,62,,,,,,,defer-promise,14173,,,,
static-react,13,,,,,,,react-static,11971,,,,
stream-match,97,,,,,,,match-stream,99009,,,,
core-mjs,0,,,core-js,24735462,,,,,,,,
js-is-type,1,,,,,,,is-js-type,32033,,,,
coap,2087,,,,,,,,,clap,1521268,,
elimiter,0,,,limiter,851686,,,,,,,,
async-run,1,,,,,,,run-async,9898281,,,,
json-sockets,4,,,json-socket,50988,,,,,,,,
ccss,2,,,,,,,,,cvss,30868,,
hwa,834,,,,,,,,,jwa,5064881,,
merge-package-json,177,,,,,,,,,merge-package.json,10641,,
mix-with,8,,,mixwith,20066,,,mixwith,20066,mixwith,20066,,
js-expression,107,,,,,,,,,is-expression,682546,,
deep-freezer,6,,,deep-freeze,133748,,,,,,,,
hajax,3,,,,,,,,,najax,61839,,
fas-utils,2,,,fs-utils,14958,,,,,,,,
sweb3-eth-contract,5,,,web3-eth-contract,106657,,,,,,,,
scb2promise,1,,,cb2promise,15193,,,,,,,,
clone-shallow,3,,,,,,,shallow-clone,8092362,,,,
url4,32,,,,,,,,,,,url,10579857
firebase-2,1,,,,,,,,,,,firebase,713566
js-beautify2,0,,,js-beautify,1448593,,,,,,,js-beautify,1448593
file_md5,0,,,,,,,md5-file,663716,,,,
